title = "Plot for node 200035"
VARIABLES =  "Time""Displacement X ""Displacement Y ""Displacement Z ""Displacement Al""Displacement Be""Displacement Ga"
ZONE T= "ONE"  I=  5001  F=POINT
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1503776E+01  0.1658359E+01 -0.9141511E-02
  0.2020933E-01 -0.7349117E-03 -0.1757354E-03  0.1729377E-01 -0.1503670E+01  0.1658373E+01 -0.1765425E-02
  0.3990048E-01 -0.3169045E-02 -0.3953003E-03  0.5233113E-01 -0.1503628E+01  0.1658598E+01  0.9057187E-02
  0.6010981E-01 -0.5274445E-02 -0.4293033E-03  0.8512879E-01 -0.1503583E+01  0.1659135E+01  0.1285618E-01
  0.7980096E-01 -0.6599438E-02 -0.3873255E-03  0.1100272E+00 -0.1503537E+01  0.1659646E+01  0.1271154E-01
  0.1000103E+00 -0.7716118E-02 -0.3253088E-03  0.1339422E+00 -0.1503489E+01  0.1659892E+01  0.1318369E-01
  0.1202196E+00 -0.8896569E-02 -0.2698356E-03  0.1592259E+00 -0.1503444E+01  0.1659950E+01  0.1471738E-01
  0.1399108E+00 -0.1004060E-01 -0.1792373E-03  0.1845998E+00 -0.1503398E+01  0.1659942E+01  0.1619672E-01
  0.1601201E+00 -0.1117859E-01 -0.4941233E-04  0.2104560E+00 -0.1503355E+01  0.1659884E+01  0.1731866E-01
  0.1798112E+00 -0.1226481E-01  0.6964413E-04  0.2353722E+00 -0.1503319E+01  0.1659822E+01  0.1825592E-01
  0.2000206E+00 -0.1330927E-01  0.1694990E-03  0.2608177E+00 -0.1503284E+01  0.1659697E+01  0.1920489E-01
  0.2202299E+00 -0.1419136E-01  0.2080858E-03  0.2861534E+00 -0.1503242E+01  0.1659427E+01  0.2008207E-01
  0.2399211E+00 -0.1489371E-01  0.2481964E-03  0.3107574E+00 -0.1503194E+01  0.1659184E+01  0.2088221E-01
  0.2601304E+00 -0.1556008E-01  0.4707310E-03  0.3359946E+00 -0.1503143E+01  0.1659037E+01  0.2174918E-01
  0.2798215E+00 -0.1622061E-01  0.8000625E-03  0.3604523E+00 -0.1503109E+01  0.1658584E+01  0.2268296E-01
  0.3000309E+00 -0.1662229E-01  0.1052366E-02  0.3850694E+00 -0.1503059E+01  0.1657912E+01  0.2353469E-01
  0.3202402E+00 -0.1666256E-01  0.1270726E-02  0.4088007E+00 -0.1502957E+01  0.1657615E+01  0.2448253E-01
  0.3399314E+00 -0.1730565E-01  0.1523548E-02  0.4299222E+00 -0.1502905E+01  0.1657289E+01  0.2513803E-01
  0.3601407E+00 -0.1974199E-01  0.1676849E-02  0.4496790E+00 -0.1503044E+01  0.1656652E+01  0.2359299E-01
  0.3798318E+00 -0.2307497E-01  0.1740518E-02  0.4723293E+00 -0.1503259E+01  0.1656784E+01  0.2331881E-01
