

 Aerodynamic loads on estructural (master) nodes


 FORMAT
 iter time
 numbNodes
 nodeId fx fy fz mx my mz
 nodeId fx fy fz mx my mz
 ...
 nodeId fx fy fz mx my mz


      1 0.00000E+00
     11
     25  0.00000E+00  0.00000E+00  0.14979E-01 -0.81616E-01 -0.35558E-16 -0.41747E+00
     26  0.00000E+00  0.16565E-16  0.46888E-01 -0.25581E+00 -0.12543E-15 -0.59868E-01
     27  0.00000E+00  0.11792E-16  0.48659E-01 -0.26574E+00 -0.96262E-16  0.10871E-01
     28  0.00000E+00  0.33462E-18  0.47682E-01 -0.26043E+00 -0.33303E-16  0.68496E-02
     29  0.00000E+00  0.15871E-16  0.46326E-01 -0.25303E+00 -0.11744E-15  0.38260E-02
     30  0.00000E+00 -0.52119E-17  0.45029E-01 -0.24594E+00 -0.12976E-17  0.57958E-02
     31  0.00000E+00  0.16443E-16  0.43732E-01 -0.23886E+00 -0.11859E-15  0.76013E-02
     32  0.00000E+00  0.87407E-17  0.42409E-01 -0.23163E+00 -0.75496E-16  0.99694E-02
     33  0.00000E+00  0.19259E-17  0.40869E-01 -0.22319E+00 -0.36842E-16  0.16370E-01
     34  0.00000E+00  0.20987E-16  0.37442E-01 -0.20411E+00 -0.13552E-15  0.66809E-01
     35  0.00000E+00 -0.39818E-17  0.15183E-01 -0.82092E-01  0.32995E-16  0.34924E+00


      2 0.50000E-01
     11
     25  0.74628E-11  0.79045E-10 -0.28055E+00  0.15081E+01 -0.84496E-10  0.82071E+01
     26  0.69553E-10  0.66318E-08 -0.13901E+01  0.75076E+01 -0.30430E-07  0.11205E+02
     27  0.75511E-10  0.35183E-06 -0.13174E+01  0.70409E+01 -0.22010E-05 -0.28150E+02
     28  0.23598E-09  0.26152E-03 -0.43538E+01  0.28609E+02 -0.14720E-02  0.42252E+03
     29  0.14404E-07  0.80582E-02 -0.26333E+03  0.14381E+04 -0.68821E-02  0.44305E+04
     30  0.27518E-07 -0.24467E-05 -0.51359E+03  0.27952E+04  0.14164E-04  0.27024E+02
     31  0.13784E-07 -0.80989E-02 -0.26273E+03  0.14347E+04  0.71856E-02 -0.44455E+04
     32  0.17412E-09 -0.27637E-03 -0.32215E+01  0.22573E+02  0.15459E-02 -0.44347E+03
     33  0.46531E-10 -0.47355E-06 -0.99827E+00  0.52667E+01  0.28288E-05  0.37799E+02
     34  0.55691E-10 -0.60924E-08 -0.13714E+01  0.74155E+01  0.27679E-07 -0.11330E+02
     35  0.63406E-11 -0.63425E-10 -0.34814E+00  0.18654E+01  0.40962E-10 -0.87369E+01


      3 0.10000E+00
     11
     25 -0.11013E-08  0.32770E-06 -0.12314E+01  0.72472E+01 -0.14853E-05  0.37349E+02
     26 -0.26461E-08  0.19065E-04 -0.21043E+01  0.12918E+02 -0.10004E-03 -0.11895E+03
     27  0.18282E-06  0.53442E-03  0.53986E+02 -0.28803E+03 -0.79924E-03 -0.61325E+03
     28 -0.21756E-04  0.62135E-02 -0.12689E+03  0.69612E+03 -0.21506E-01  0.40109E+04
     29 -0.15306E-03  0.29646E-01 -0.39378E+03  0.26581E+04  0.16792E-02  0.10724E+04
     30 -0.27993E-03 -0.16910E-03 -0.45993E+03  0.35185E+04  0.11293E-02  0.55050E+02
     31 -0.15232E-03 -0.29465E-01 -0.39280E+03  0.26518E+04 -0.22427E-02 -0.10329E+04
     32 -0.21923E-04 -0.62537E-02 -0.12710E+03  0.69472E+03  0.21791E-01 -0.41115E+04
     33  0.14776E-06 -0.56963E-03  0.54211E+02 -0.28970E+03  0.97254E-03  0.59386E+03
     34 -0.27302E-08 -0.23882E-04 -0.16723E+01  0.10488E+02  0.12679E-03  0.14684E+03
     35 -0.11787E-08 -0.35394E-06 -0.14500E+01  0.85493E+01  0.15559E-05 -0.39882E+02




